season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2012,2,Kameron,Drunken Monkeys,86.61,9,0-1-0,Loss,0-2-0,AJ,Hunting Horwitz,92.9,8,0-1-0,1-1-0
2012,2,dan,DR Philthy,81.51,10,1-0-0,Loss,1-1-0,Sam,Enemy at the Gates,102.86,5,1-0-0,2-0-0
2012,2,Aaron,I Cursed AJ Crane,96.0,7,1-0-0,Win,2-0-0,Mike,hahBEEEEEEHHbut,74.36,12,0-1-0,0-2-0
2012,2,Matthew,Turf Muncher,160.94,1,0-1-0,Win,1-1-0,Rob,Senor Manberto,124.42,3,0-1-0,0-2-0
2012,2,Matt,Mongorians,134.34,2,1-0-0,Win,2-0-0,Colin,Im a scientist,100.3,6,0-1-0,0-2-0
2012,2,Jason,Clickety Clow,80.43,11,1-0-0,Loss,1-1-0,nathan,ol-erth murph slayers,111.34,4,1-0-0,2-0-0
2012,2,AJ,Hunting Horwitz,92.9,8,0-1-0,Win,1-1-0,Kameron,Drunken Monkeys,86.61,9,0-1-0,0-2-0
2012,2,Sam,Enemy at the Gates,102.86,5,1-0-0,Win,2-0-0,dan,DR Philthy,81.51,10,1-0-0,1-1-0
2012,2,Mike,hahBEEEEEEHHbut,74.36,12,0-1-0,Loss,0-2-0,Aaron,I Cursed AJ Crane,96.0,7,1-0-0,2-0-0
2012,2,Rob,Senor Manberto,124.42,3,0-1-0,Loss,0-2-0,Matthew,Turf Muncher,160.94,1,0-1-0,1-1-0
2012,2,Colin,Im a scientist,100.3,6,0-1-0,Loss,0-2-0,Matt,Mongorians,134.34,2,1-0-0,2-0-0
2012,2,nathan,ol-erth murph slayers,111.34,4,1-0-0,Win,2-0-0,Jason,Clickety Clow,80.43,11,1-0-0,1-1-0
2012,3,AJ,Hunting Horwitz,93.02,8,1-1-0,Win,2-1-0,Sam,Enemy at the Gates,78.7,10,2-0-0,2-1-0
2012,3,Mike,hahBEEEEEEHHbut,84.76,9,0-2-0,Loss,0-3-0,Kameron,Drunken Monkeys,139.29,1,0-2-0,1-2-0
2012,3,Rob,Senor Manberto,104.48,5,0-2-0,Win,1-2-0,dan,DR Philthy,96.43,7,1-1-0,1-2-0
2012,3,Colin,Im a scientist,76.3,11,0-2-0,Loss,0-3-0,Aaron,I Cursed AJ Crane,101.92,6,2-0-0,3-0-0
2012,3,nathan,ol-erth murph slayers,128.32,2,2-0-0,Win,3-0-0,Matthew,Turf Muncher,114.04,4,1-1-0,1-2-0
2012,3,Jason,Clickety Clow,121.96,3,1-1-0,Win,2-1-0,Matt,Mongorians,74.98,12,2-0-0,2-1-0
2012,3,Sam,Enemy at the Gates,78.7,10,2-0-0,Loss,2-1-0,AJ,Hunting Horwitz,93.02,8,1-1-0,2-1-0
2012,3,Kameron,Drunken Monkeys,139.29,1,0-2-0,Win,1-2-0,Mike,hahBEEEEEEHHbut,84.76,9,0-2-0,0-3-0
2012,3,dan,DR Philthy,96.43,7,1-1-0,Loss,1-2-0,Rob,Senor Manberto,104.48,5,0-2-0,1-2-0
2012,3,Aaron,I Cursed AJ Crane,101.92,6,2-0-0,Win,3-0-0,Colin,Im a scientist,76.3,11,0-2-0,0-3-0
2012,3,Matthew,Turf Muncher,114.04,4,1-1-0,Loss,1-2-0,nathan,ol-erth murph slayers,128.32,2,2-0-0,3-0-0
2012,3,Matt,Mongorians,74.98,12,2-0-0,Loss,2-1-0,Jason,Clickety Clow,121.96,3,1-1-0,2-1-0
2012,4,Mike,hahBEEEEEEHHbut,116.66,6,0-3-0,Win,1-3-0,AJ,Hunting Horwitz,91.56,9,2-1-0,2-2-0
2012,4,Sam,Enemy at the Gates,131.63,1,2-1-0,Win,3-1-0,Rob,Senor Manberto,120.83,4,1-2-0,1-3-0
2012,4,Kameron,Drunken Monkeys,87.44,11,1-2-0,Loss,1-3-0,Colin,Im a scientist,112.94,7,0-3-0,1-3-0
2012,4,dan,DR Philthy,125.95,3,1-2-0,Loss,1-3-0,nathan,ol-erth murph slayers,126.7,2,3-0-0,4-0-0
2012,4,Aaron,I Cursed AJ Crane,89.76,10,3-0-0,Win,4-0-0,Jason,Clickety Clow,80.1,12,2-1-0,2-2-0
2012,4,Matthew,Turf Muncher,112.42,8,1-2-0,Loss,1-3-0,Matt,Mongorians,117.0,5,2-1-0,3-1-0
2012,4,AJ,Hunting Horwitz,91.56,9,2-1-0,Loss,2-2-0,Mike,hahBEEEEEEHHbut,116.66,6,0-3-0,1-3-0
2012,4,Rob,Senor Manberto,120.83,4,1-2-0,Loss,1-3-0,Sam,Enemy at the Gates,131.63,1,2-1-0,3-1-0
2012,4,Colin,Im a scientist,112.94,7,0-3-0,Win,1-3-0,Kameron,Drunken Monkeys,87.44,11,1-2-0,1-3-0
2012,4,nathan,ol-erth murph slayers,126.7,2,3-0-0,Win,4-0-0,dan,DR Philthy,125.95,3,1-2-0,1-3-0
2012,4,Jason,Clickety Clow,80.1,12,2-1-0,Loss,2-2-0,Aaron,I Cursed AJ Crane,89.76,10,3-0-0,4-0-0
2012,4,Matt,Mongorians,117.0,5,2-1-0,Win,3-1-0,Matthew,Turf Muncher,112.42,8,1-2-0,1-3-0
2012,5,AJ,Hunting Horwitz,106.18,5,2-2-0,Loss,2-3-0,Rob,Senor Manberto,114.07,4,1-3-0,2-3-0
2012,5,Colin,Im a scientist,91.0,10,1-3-0,Win,2-3-0,Mike,hahBEEEEEEHHbut,88.07,11,1-3-0,1-4-0
2012,5,nathan,ol-erth murph slayers,93.52,9,4-0-0,Loss,4-1-0,Sam,Enemy at the Gates,116.8,3,3-1-0,4-1-0
2012,5,Jason,Clickety Clow,101.6,7,2-2-0,Win,3-2-0,Kameron,Drunken Monkeys,84.96,12,1-3-0,1-4-0
2012,5,Matt,Mongorians,123.16,2,3-1-0,Win,4-1-0,dan,DR Philthy,104.48,6,1-3-0,1-4-0
2012,5,Matthew,Turf Muncher,98.56,8,1-3-0,Loss,1-4-0,Aaron,I Cursed AJ Crane,127.36,1,4-0-0,5-0-0
2012,5,Rob,Senor Manberto,114.07,4,1-3-0,Win,2-3-0,AJ,Hunting Horwitz,106.18,5,2-2-0,2-3-0
2012,5,Mike,hahBEEEEEEHHbut,88.07,11,1-3-0,Loss,1-4-0,Colin,Im a scientist,91.0,10,1-3-0,2-3-0
2012,5,Sam,Enemy at the Gates,116.8,3,3-1-0,Win,4-1-0,nathan,ol-erth murph slayers,93.52,9,4-0-0,4-1-0
2012,5,Kameron,Drunken Monkeys,84.96,12,1-3-0,Loss,1-4-0,Jason,Clickety Clow,101.6,7,2-2-0,3-2-0
2012,5,dan,DR Philthy,104.48,6,1-3-0,Loss,1-4-0,Matt,Mongorians,123.16,2,3-1-0,4-1-0
2012,5,Aaron,I Cursed AJ Crane,127.36,1,4-0-0,Win,5-0-0,Matthew,Turf Muncher,98.56,8,1-3-0,1-4-0
2012,6,Colin,Im a scientist,108.08,5,2-3-0,Win,3-3-0,AJ,Hunting Horwitz,92.34,8,2-3-0,2-4-0
2012,6,Rob,Senor Manberto,94.35,7,2-3-0,Win,3-3-0,nathan,ol-erth murph slayers,88.8,10,4-1-0,4-2-0
2012,6,Mike,hahBEEEEEEHHbut,106.92,6,1-4-0,Loss,1-5-0,Jason,Clickety Clow,120.79,2,3-2-0,4-2-0
2012,6,Sam,Enemy at the Gates,130.03,1,4-1-0,Win,5-1-0,Matt,Mongorians,114.94,4,4-1-0,4-2-0
2012,6,Kameron,Drunken Monkeys,89.19,9,1-4-0,Win,2-4-0,Matthew,Turf Muncher,73.71,12,1-4-0,1-5-0
2012,6,dan,DR Philthy,120.53,3,1-4-0,Win,2-4-0,Aaron,I Cursed AJ Crane,79.92,11,5-0-0,5-1-0
2012,6,AJ,Hunting Horwitz,92.34,8,2-3-0,Loss,2-4-0,Colin,Im a scientist,108.08,5,2-3-0,3-3-0
2012,6,nathan,ol-erth murph slayers,88.8,10,4-1-0,Loss,4-2-0,Rob,Senor Manberto,94.35,7,2-3-0,3-3-0
2012,6,Jason,Clickety Clow,120.79,2,3-2-0,Win,4-2-0,Mike,hahBEEEEEEHHbut,106.92,6,1-4-0,1-5-0
2012,6,Matt,Mongorians,114.94,4,4-1-0,Loss,4-2-0,Sam,Enemy at the Gates,130.03,1,4-1-0,5-1-0
2012,6,Matthew,Turf Muncher,73.71,12,1-4-0,Loss,1-5-0,Kameron,Drunken Monkeys,89.19,9,1-4-0,2-4-0
2012,6,Aaron,I Cursed AJ Crane,79.92,11,5-0-0,Loss,5-1-0,dan,DR Philthy,120.53,3,1-4-0,2-4-0
2012,7,AJ,Hunting Horwitz,116.64,2,2-4-0,Win,3-4-0,nathan,ol-erth murph slayers,88.16,8,4-2-0,4-3-0
2012,7,Jason,Clickety Clow,69.65,11,4-2-0,Loss,4-3-0,Colin,Im a scientist,98.44,6,3-3-0,4-3-0
2012,7,Matt,Mongorians,119.0,1,4-2-0,Win,5-2-0,Rob,Senor Manberto,69.45,12,3-3-0,3-4-0
2012,7,Matthew,Turf Muncher,86.89,9,1-5-0,Win,2-5-0,Mike,hahBEEEEEEHHbut,83.22,10,1-5-0,1-6-0
2012,7,Aaron,I Cursed AJ Crane,105.18,5,5-1-0,Loss,5-2-0,Sam,Enemy at the Gates,116.14,3,5-1-0,6-1-0
2012,7,dan,DR Philthy,105.3,4,2-4-0,Win,3-4-0,Kameron,Drunken Monkeys,96.35,7,2-4-0,2-5-0
2012,7,nathan,ol-erth murph slayers,88.16,8,4-2-0,Loss,4-3-0,AJ,Hunting Horwitz,116.64,2,2-4-0,3-4-0
2012,7,Colin,Im a scientist,98.44,6,3-3-0,Win,4-3-0,Jason,Clickety Clow,69.65,11,4-2-0,4-3-0
2012,7,Rob,Senor Manberto,69.45,12,3-3-0,Loss,3-4-0,Matt,Mongorians,119.0,1,4-2-0,5-2-0
2012,7,Mike,hahBEEEEEEHHbut,83.22,10,1-5-0,Loss,1-6-0,Matthew,Turf Muncher,86.89,9,1-5-0,2-5-0
2012,7,Sam,Enemy at the Gates,116.14,3,5-1-0,Win,6-1-0,Aaron,I Cursed AJ Crane,105.18,5,5-1-0,5-2-0
2012,7,Kameron,Drunken Monkeys,96.35,7,2-4-0,Loss,2-5-0,dan,DR Philthy,105.3,4,2-4-0,3-4-0
2012,8,Jason,Clickety Clow,90.45,9,4-3-0,Loss,4-4-0,AJ,Hunting Horwitz,95.08,6,3-4-0,4-4-0
2012,8,nathan,ol-erth murph slayers,106.36,2,4-3-0,Loss,4-4-0,Matt,Mongorians,107.94,1,5-2-0,6-2-0
2012,8,Colin,Im a scientist,95.85,5,4-3-0,Win,5-3-0,Matthew,Turf Muncher,77.58,12,2-5-0,2-6-0
2012,8,Rob,Senor Manberto,85.66,10,3-4-0,Win,4-4-0,Aaron,I Cursed AJ Crane,80.78,11,5-2-0,5-3-0
2012,8,Mike,hahBEEEEEEHHbut,93.51,8,1-6-0,Loss,1-7-0,dan,DR Philthy,93.63,7,3-4-0,4-4-0
2012,8,Sam,Enemy at the Gates,98.58,4,6-1-0,Loss,6-2-0,Kameron,Drunken Monkeys,102.35,3,2-5-0,3-5-0
2012,8,AJ,Hunting Horwitz,95.08,6,3-4-0,Win,4-4-0,Jason,Clickety Clow,90.45,9,4-3-0,4-4-0
2012,8,Matt,Mongorians,107.94,1,5-2-0,Win,6-2-0,nathan,ol-erth murph slayers,106.36,2,4-3-0,4-4-0
2012,8,Matthew,Turf Muncher,77.58,12,2-5-0,Loss,2-6-0,Colin,Im a scientist,95.85,5,4-3-0,5-3-0
2012,8,Aaron,I Cursed AJ Crane,80.78,11,5-2-0,Loss,5-3-0,Rob,Senor Manberto,85.66,10,3-4-0,4-4-0
2012,8,dan,DR Philthy,93.63,7,3-4-0,Win,4-4-0,Mike,hahBEEEEEEHHbut,93.51,8,1-6-0,1-7-0
2012,8,Kameron,Drunken Monkeys,102.35,3,2-5-0,Win,3-5-0,Sam,Enemy at the Gates,98.58,4,6-1-0,6-2-0
2012,9,AJ,Hunting Horwitz,132.7,1,4-4-0,Win,5-4-0,Matt,Mongorians,117.41,4,6-2-0,6-3-0
2012,9,Matthew,Turf Muncher,84.5,10,2-6-0,Win,3-6-0,Jason,Clickety Clow,59.84,12,4-4-0,4-5-0
2012,9,Aaron,I Cursed AJ Crane,113.7,5,5-3-0,Win,6-3-0,nathan,ol-erth murph slayers,107.78,6,4-4-0,4-5-0
2012,9,dan,DR Philthy,81.44,11,4-4-0,Loss,4-5-0,Colin,Im a scientist,129.99,2,5-3-0,6-3-0
2012,9,Kameron,Drunken Monkeys,107.06,7,3-5-0,Win,4-5-0,Rob,Senor Manberto,101.64,9,4-4-0,4-5-0
2012,9,Sam,Enemy at the Gates,120.15,3,6-2-0,Win,7-2-0,Mike,hahBEEEEEEHHbut,103.12,8,1-7-0,1-8-0
2012,9,Matt,Mongorians,117.41,4,6-2-0,Loss,6-3-0,AJ,Hunting Horwitz,132.7,1,4-4-0,5-4-0
2012,9,Jason,Clickety Clow,59.84,12,4-4-0,Loss,4-5-0,Matthew,Turf Muncher,84.5,10,2-6-0,3-6-0
2012,9,nathan,ol-erth murph slayers,107.78,6,4-4-0,Loss,4-5-0,Aaron,I Cursed AJ Crane,113.7,5,5-3-0,6-3-0
2012,9,Colin,Im a scientist,129.99,2,5-3-0,Win,6-3-0,dan,DR Philthy,81.44,11,4-4-0,4-5-0
2012,9,Rob,Senor Manberto,101.64,9,4-4-0,Loss,4-5-0,Kameron,Drunken Monkeys,107.06,7,3-5-0,4-5-0
2012,9,Mike,hahBEEEEEEHHbut,103.12,8,1-7-0,Loss,1-8-0,Sam,Enemy at the Gates,120.15,3,6-2-0,7-2-0
2012,10,Matthew,Turf Muncher,119.68,2,3-6-0,Win,4-6-0,AJ,Hunting Horwitz,99.28,4,5-4-0,5-5-0
2012,10,Matt,Mongorians,95.6,7,6-3-0,Win,7-3-0,Aaron,I Cursed AJ Crane,75.3,12,6-3-0,6-4-0
2012,10,Jason,Clickety Clow,93.66,8,4-5-0,Loss,4-6-0,dan,DR Philthy,97.24,6,4-5-0,5-5-0
2012,10,nathan,ol-erth murph slayers,98.78,5,4-5-0,Win,5-5-0,Kameron,Drunken Monkeys,83.76,10,4-5-0,4-6-0
2012,10,Colin,Im a scientist,103.02,3,6-3-0,Loss,6-4-0,Sam,Enemy at the Gates,138.04,1,7-2-0,8-2-0
2012,10,Rob,Senor Manberto,83.04,11,4-5-0,Loss,4-6-0,Mike,hahBEEEEEEHHbut,84.71,9,1-8-0,2-8-0
2012,10,AJ,Hunting Horwitz,99.28,4,5-4-0,Loss,5-5-0,Matthew,Turf Muncher,119.68,2,3-6-0,4-6-0
2012,10,Aaron,I Cursed AJ Crane,75.3,12,6-3-0,Loss,6-4-0,Matt,Mongorians,95.6,7,6-3-0,7-3-0
2012,10,dan,DR Philthy,97.24,6,4-5-0,Win,5-5-0,Jason,Clickety Clow,93.66,8,4-5-0,4-6-0
2012,10,Kameron,Drunken Monkeys,83.76,10,4-5-0,Loss,4-6-0,nathan,ol-erth murph slayers,98.78,5,4-5-0,5-5-0
2012,10,Sam,Enemy at the Gates,138.04,1,7-2-0,Win,8-2-0,Colin,Im a scientist,103.02,3,6-3-0,6-4-0
2012,10,Mike,hahBEEEEEEHHbut,84.71,9,1-8-0,Win,2-8-0,Rob,Senor Manberto,83.04,11,4-5-0,4-6-0
2012,11,AJ,Hunting Horwitz,78.26,9,5-5-0,Loss,5-6-0,Aaron,I Cursed AJ Crane,104.62,3,6-4-0,7-4-0
2012,11,dan,DR Philthy,87.83,7,5-5-0,Loss,5-6-0,Matthew,Turf Muncher,134.37,2,4-6-0,5-6-0
2012,11,Kameron,Drunken Monkeys,94.28,5,4-6-0,Loss,4-7-0,Matt,Mongorians,139.6,1,7-3-0,8-3-0
2012,11,Sam,Enemy at the Gates,84.77,8,8-2-0,Win,9-2-0,Jason,Clickety Clow,34.4,12,4-6-0,4-7-0
2012,11,Mike,hahBEEEEEEHHbut,61.74,11,2-8-0,Loss,2-9-0,nathan,ol-erth murph slayers,101.14,4,5-5-0,6-5-0
2012,11,Rob,Senor Manberto,94.08,6,4-6-0,Win,5-6-0,Colin,Im a scientist,75.26,10,6-4-0,6-5-0
2012,11,Aaron,I Cursed AJ Crane,104.62,3,6-4-0,Win,7-4-0,AJ,Hunting Horwitz,78.26,9,5-5-0,5-6-0
2012,11,Matthew,Turf Muncher,134.37,2,4-6-0,Win,5-6-0,dan,DR Philthy,87.83,7,5-5-0,5-6-0
2012,11,Matt,Mongorians,139.6,1,7-3-0,Win,8-3-0,Kameron,Drunken Monkeys,94.28,5,4-6-0,4-7-0
2012,11,Jason,Clickety Clow,34.4,12,4-6-0,Loss,4-7-0,Sam,Enemy at the Gates,84.77,8,8-2-0,9-2-0
2012,11,nathan,ol-erth murph slayers,101.14,4,5-5-0,Win,6-5-0,Mike,hahBEEEEEEHHbut,61.74,11,2-8-0,2-9-0
2012,11,Colin,Im a scientist,75.26,10,6-4-0,Loss,6-5-0,Rob,Senor Manberto,94.08,6,4-6-0,5-6-0
2012,12,dan,DR Philthy,92.07,9,5-6-0,Win,6-6-0,AJ,Hunting Horwitz,86.8,10,5-6-0,5-7-0
2012,12,Aaron,I Cursed AJ Crane,127.0,3,7-4-0,Win,8-4-0,Kameron,Drunken Monkeys,105.44,5,4-7-0,4-8-0
2012,12,Matthew,Turf Muncher,143.19,1,5-6-0,Win,6-6-0,Sam,Enemy at the Gates,101.45,7,9-2-0,9-3-0
2012,12,Matt,Mongorians,109.5,4,8-3-0,Win,9-3-0,Mike,hahBEEEEEEHHbut,64.99,12,2-9-0,2-10-0
2012,12,Jason,Clickety Clow,81.3,11,4-7-0,Loss,4-8-0,Rob,Senor Manberto,97.24,8,5-6-0,6-6-0
2012,12,nathan,ol-erth murph slayers,135.02,2,6-5-0,Win,7-5-0,Colin,Im a scientist,103.68,6,6-5-0,6-6-0
2012,12,AJ,Hunting Horwitz,86.8,10,5-6-0,Loss,5-7-0,dan,DR Philthy,92.07,9,5-6-0,6-6-0
2012,12,Kameron,Drunken Monkeys,105.44,5,4-7-0,Loss,4-8-0,Aaron,I Cursed AJ Crane,127.0,3,7-4-0,8-4-0
2012,12,Sam,Enemy at the Gates,101.45,7,9-2-0,Loss,9-3-0,Matthew,Turf Muncher,143.19,1,5-6-0,6-6-0
2012,12,Mike,hahBEEEEEEHHbut,64.99,12,2-9-0,Loss,2-10-0,Matt,Mongorians,109.5,4,8-3-0,9-3-0
2012,12,Rob,Senor Manberto,97.24,8,5-6-0,Win,6-6-0,Jason,Clickety Clow,81.3,11,4-7-0,4-8-0
2012,12,Colin,Im a scientist,103.68,6,6-5-0,Loss,6-6-0,nathan,ol-erth murph slayers,135.02,2,6-5-0,7-5-0
2012,13,AJ,Hunting Horwitz,133.14,2,5-7-0,Loss,5-8-0,Kameron,Drunken Monkeys,148.32,1,4-8-0,5-8-0
2012,13,Sam,Enemy at the Gates,100.27,7,9-3-0,Win,10-3-0,dan,DR Philthy,92.11,8,6-6-0,6-7-0
2012,13,Mike,hahBEEEEEEHHbut,62.94,12,2-10-0,Loss,2-11-0,Aaron,I Cursed AJ Crane,128.5,3,8-4-0,9-4-0
2012,13,Rob,Senor Manberto,109.38,6,6-6-0,Loss,6-7-0,Matthew,Turf Muncher,114.05,5,6-6-0,7-6-0
2012,13,Colin,Im a scientist,64.64,11,6-6-0,Loss,6-7-0,Matt,Mongorians,120.84,4,9-3-0,10-3-0
2012,13,nathan,ol-erth murph slayers,90.22,9,7-5-0,Win,8-5-0,Jason,Clickety Clow,65.4,10,4-8-0,4-9-0
2012,13,Kameron,Drunken Monkeys,148.32,1,4-8-0,Win,5-8-0,AJ,Hunting Horwitz,133.14,2,5-7-0,5-8-0
2012,13,dan,DR Philthy,92.11,8,6-6-0,Loss,6-7-0,Sam,Enemy at the Gates,100.27,7,9-3-0,10-3-0
2012,13,Aaron,I Cursed AJ Crane,128.5,3,8-4-0,Win,9-4-0,Mike,hahBEEEEEEHHbut,62.94,12,2-10-0,2-11-0
2012,13,Matthew,Turf Muncher,114.05,5,6-6-0,Win,7-6-0,Rob,Senor Manberto,109.38,6,6-6-0,6-7-0
2012,13,Matt,Mongorians,120.84,4,9-3-0,Win,10-3-0,Colin,Im a scientist,64.64,11,6-6-0,6-7-0
2012,13,Jason,Clickety Clow,65.4,10,4-8-0,Loss,4-9-0,nathan,ol-erth murph slayers,90.22,9,7-5-0,8-5-0
2012,14,Sam,Enemy at the Gates,97.41,7,10-3-0,Loss,10-4-0,AJ,Hunting Horwitz,112.07,4,5-8-0,6-8-0
2012,14,Kameron,Drunken Monkeys,76.92,10,5-8-0,Win,6-8-0,Mike,hahBEEEEEEHHbut,68.55,12,2-11-0,2-12-0
2012,14,dan,DR Philthy,83.86,9,6-7-0,Loss,6-8-0,Rob,Senor Manberto,165.68,1,6-7-0,7-7-0
2012,14,Aaron,I Cursed AJ Crane,108.36,5,9-4-0,Win,10-4-0,Colin,Im a scientist,95.86,8,6-7-0,6-8-0
2012,14,Matthew,Turf Muncher,74.48,11,7-6-0,Loss,7-7-0,nathan,ol-erth murph slayers,106.34,6,8-5-0,9-5-0
2012,14,Matt,Mongorians,129.14,2,10-3-0,Win,11-3-0,Jason,Clickety Clow,124.4,3,4-9-0,4-10-0
2012,14,AJ,Hunting Horwitz,112.07,4,5-8-0,Win,6-8-0,Sam,Enemy at the Gates,97.41,7,10-3-0,10-4-0
2012,14,Mike,hahBEEEEEEHHbut,68.55,12,2-11-0,Loss,2-12-0,Kameron,Drunken Monkeys,76.92,10,5-8-0,6-8-0
2012,14,Rob,Senor Manberto,165.68,1,6-7-0,Win,7-7-0,dan,DR Philthy,83.86,9,6-7-0,6-8-0
2012,14,Colin,Im a scientist,95.86,8,6-7-0,Loss,6-8-0,Aaron,I Cursed AJ Crane,108.36,5,9-4-0,10-4-0
2012,14,nathan,ol-erth murph slayers,106.34,6,8-5-0,Win,9-5-0,Matthew,Turf Muncher,74.48,11,7-6-0,7-7-0
2012,14,Jason,Clickety Clow,124.4,3,4-9-0,Loss,4-10-0,Matt,Mongorians,129.14,2,10-3-0,11-3-0
2012,15,AJ,Hunting Horwitz,90.24,7,6-8-0,Loss,6-8-0,Jason,Clickety Clow,136.66,1,4-10-0,4-10-0
2012,15,Kameron,Drunken Monkeys,84.24,8,6-8-0,Loss,6-8-0,Mike,hahBEEEEEEHHbut,96.51,6,2-12-0,2-12-0
2012,15,nathan,ol-erth murph slayers,121.32,3,9-5-0,Win,9-5-0,Matthew,Turf Muncher,97.56,5,7-7-0,7-7-0
2012,15,Aaron,I Cursed AJ Crane,121.64,2,10-4-0,Win,10-4-0,Rob,Senor Manberto,101.41,4,7-7-0,7-7-0
2012,15,Jason,Clickety Clow,136.66,1,4-10-0,Win,4-10-0,AJ,Hunting Horwitz,90.24,7,6-8-0,6-8-0
2012,15,Mike,hahBEEEEEEHHbut,96.51,6,2-12-0,Win,2-12-0,Kameron,Drunken Monkeys,84.24,8,6-8-0,6-8-0
2012,15,Matthew,Turf Muncher,97.56,5,7-7-0,Loss,7-7-0,nathan,ol-erth murph slayers,121.32,3,9-5-0,9-5-0
2012,15,Rob,Senor Manberto,101.41,4,7-7-0,Loss,7-7-0,Aaron,I Cursed AJ Crane,121.64,2,10-4-0,10-4-0
2012,16,Colin,Im a scientist,125.34,2,6-8-0,Loss,6-8-0,Jason,Clickety Clow,139.53,1,4-10-0,4-10-0
2012,16,Mike,hahBEEEEEEHHbut,82.13,7,2-12-0,Loss,2-12-0,dan,DR Philthy,118.83,4,6-8-0,6-8-0
2012,16,Matt,Mongorians,119.52,3,11-3-0,Win,11-3-0,nathan,ol-erth murph slayers,68.68,8,9-5-0,9-5-0
2012,16,Aaron,I Cursed AJ Crane,84.84,6,10-4-0,Loss,10-4-0,Sam,Enemy at the Gates,103.66,5,10-4-0,10-4-0
2012,16,Jason,Clickety Clow,139.53,1,4-10-0,Win,4-10-0,Colin,Im a scientist,125.34,2,6-8-0,6-8-0
2012,16,dan,DR Philthy,118.83,4,6-8-0,Win,6-8-0,Mike,hahBEEEEEEHHbut,82.13,7,2-12-0,2-12-0
2012,16,nathan,ol-erth murph slayers,68.68,8,9-5-0,Loss,9-5-0,Matt,Mongorians,119.52,3,11-3-0,11-3-0
2012,16,Sam,Enemy at the Gates,103.66,5,10-4-0,Win,10-4-0,Aaron,I Cursed AJ Crane,84.84,6,10-4-0,10-4-0
2013,1,AJ,Hunting Horwitz,84.52,11,0-0-0,Loss,0-1-0,dan,DR Philthy,154.65,1,0-0-0,1-0-0
2013,1,Kameron,Drunken Monkeys,113.52,4,0-0-0,Loss,0-1-0,Aaron,I Cursed AJ Crane,140.59,2,0-0-0,1-0-0
2013,1,Sam,Gnarly Bush,104.62,6,0-0-0,Win,1-0-0,Matthew,Turf Muncher,101.48,7,0-0-0,0-1-0
2013,1,Mike,Donkey Punch,97.88,8,0-0-0,Loss,0-1-0,Matt,Mongorians,132.08,3,0-0-0,1-0-0
2013,1,Rob,Senor Manberto,96.9,9,0-0-0,Win,1-0-0,Brian,DoyouseewhathappensLarry,93.16,10,0-0-0,0-1-0
2013,1,Colin,Im a scientist,81.26,12,0-0-0,Loss,0-1-0,Mike,MrPigSkinner,109.5,5,0-0-0,1-0-0
2013,1,dan,DR Philthy,154.65,1,0-0-0,Win,1-0-0,AJ,Hunting Horwitz,84.52,11,0-0-0,0-1-0
2013,1,Aaron,I Cursed AJ Crane,140.59,2,0-0-0,Win,1-0-0,Kameron,Drunken Monkeys,113.52,4,0-0-0,0-1-0
2013,1,Matthew,Turf Muncher,101.48,7,0-0-0,Loss,0-1-0,Sam,Gnarly Bush,104.62,6,0-0-0,1-0-0
2013,1,Matt,Mongorians,132.08,3,0-0-0,Win,1-0-0,Mike,Donkey Punch,97.88,8,0-0-0,0-1-0
2013,1,Brian,DoyouseewhathappensLarry,93.16,10,0-0-0,Loss,0-1-0,Rob,Senor Manberto,96.9,9,0-0-0,1-0-0
2013,1,Mike,MrPigSkinner,109.5,5,0-0-0,Win,1-0-0,Colin,Im a scientist,81.26,12,0-0-0,0-1-0
2013,2,Kameron,Drunken Monkeys,95.14,9,0-1-0,Loss,0-2-0,AJ,Hunting Horwitz,127.3,3,0-1-0,1-1-0
2013,2,dan,DR Philthy,111.68,6,1-0-0,Win,2-0-0,Sam,Gnarly Bush,86.9,11,1-0-0,1-1-0
2013,2,Aaron,I Cursed AJ Crane,103.19,7,1-0-0,Win,2-0-0,Mike,Donkey Punch,73.68,12,0-1-0,0-2-0
2013,2,Matthew,Turf Muncher,89.38,10,0-1-0,Loss,0-2-0,Rob,Senor Manberto,100.98,8,1-0-0,2-0-0
2013,2,Matt,Mongorians,127.22,4,1-0-0,Loss,1-1-0,Colin,Im a scientist,134.8,1,0-1-0,1-1-0
2013,2,Brian,DoyouseewhathappensLarry,131.93,2,0-1-0,Win,1-1-0,Mike,MrPigSkinner,120.83,5,1-0-0,1-1-0
2013,2,AJ,Hunting Horwitz,127.3,3,0-1-0,Win,1-1-0,Kameron,Drunken Monkeys,95.14,9,0-1-0,0-2-0
2013,2,Sam,Gnarly Bush,86.9,11,1-0-0,Loss,1-1-0,dan,DR Philthy,111.68,6,1-0-0,2-0-0
2013,2,Mike,Donkey Punch,73.68,12,0-1-0,Loss,0-2-0,Aaron,I Cursed AJ Crane,103.19,7,1-0-0,2-0-0
2013,2,Rob,Senor Manberto,100.98,8,1-0-0,Win,2-0-0,Matthew,Turf Muncher,89.38,10,0-1-0,0-2-0
