season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2020,9,Mike,Mr Pig Skinner,109.54,3,4-4-0,Win,5-4-0,Matthew,Turf Muncher,101.58,6,4-4-0,4-5-0
2020,9,Sam,Highly Questionable,98.46,8,2-6-0,Win,3-6-0,dan,Tarin Holez,93.3,9,5-3-0,5-4-0
2020,9,Mike,COVIC-TORY,100.62,7,5-3-0,Loss,5-4-0,Alex,FERDA PUPPERS,122.9,1,6-2-0,7-2-0
2020,9,Rob,Shakin Bacon,77.8,12,3-5-0,Loss,3-6-0,Aaron,Ryan Leaf's Ghost,84.73,10,1-7-0,2-7-0
2020,9,Brian,DaHazzelhoffs,108.02,4,3-5-0,Loss,3-6-0,Colin,Im a scientist,119.94,2,7-1-0,8-1-0
2020,9,AJ,Kamala-ver Muhfingas,80.64,11,3-5-0,Loss,3-6-0,Kameron,Drunken Monkeys,101.97,5,5-3-0,6-3-0
2020,9,Matthew,Turf Muncher,101.58,6,4-4-0,Loss,4-5-0,Mike,Mr Pig Skinner,109.54,3,4-4-0,5-4-0
2020,9,dan,Tarin Holez,93.3,9,5-3-0,Loss,5-4-0,Sam,Highly Questionable,98.46,8,2-6-0,3-6-0
2020,10,Aaron,Ryan Leaf's Ghost,71.37,12,2-7-0,Loss,2-8-0,dan,Tarin Holez,101.82,3,5-4-0,6-4-0
2020,10,Mike,COVIC-TORY,72.88,11,5-4-0,Loss,5-5-0,Kameron,Drunken Monkeys,101.5,4,6-3-0,7-3-0
2020,10,AJ,Kamala-ver Muhfingas,74.02,10,3-6-0,Loss,3-7-0,Colin,Im a scientist,121.38,1,8-1-0,9-1-0
2020,10,Sam,Highly Questionable,88.61,7,3-6-0,Win,4-6-0,Mike,Mr Pig Skinner,86.48,8,5-4-0,5-5-0
2020,10,Rob,Shakin Bacon,90.39,6,3-6-0,Loss,3-7-0,Matthew,Turf Muncher,91.38,5,4-5-0,5-5-0
2020,10,Alex,FERDA PUPPERS,78.96,9,7-2-0,Loss,7-3-0,Brian,DaHazzelhoffs,111.5,2,3-6-0,4-6-0
2020,10,dan,Tarin Holez,101.82,3,5-4-0,Win,6-4-0,Aaron,Ryan Leaf's Ghost,71.37,12,2-7-0,2-8-0
