teamOwner,teamName,teamTransactions,teamTrades,season,teamRank,teamRecord,teamWinPct,teamPointsFor,teamPointsAgainst
Mike,Donkey Punch,27,0,2014,5,8-5-0,0.615,1309.44,1227.31
Kameron,Drunken Monkeys,27,0,2014,7,7-6-0,0.538,1286.64,1214.79
Aaron,1 Horse Sized Duck,14,0,2014,12,2-11-0,0.154,1038.58,1311.46
dan,DR Philthy,19,0,2014,11,3-10-0,0.231,1115.38,1433.2
Matthew,Turf Muncher,20,0,2014,8,6-7-0,0.462,1285.1,1408.95
Colin,Im a scientist,17,0,2014,10,4-9-0,0.308,1239.18,1373.33
Mike,MrPigSkinner,25,0,2014,6,7-6-0,0.538,1314.1,1316.67
Brian,DoyouseewhathappensLarry,9,0,2014,4,8-5-0,0.615,1390.42,1285.53
AJ ,Digbick McCocknballs III,23,0,2015,7,7-6-0,0.538,1257.16,1208.32
Sam,ZJ Anderson,24,0,2015,10,6-7-0,0.462,1413.13,1328.55
Rob,senor manberto,17,0,2015,1,8-5-0,0.615,1407.89,1320.75
Matt,Mongorians,11,0,2015,11,4-9-0,0.308,1130.68,1199.21
Mike,Foosball Is The DEVIL,24,0,2015,6,7-6-0,0.538,1329.11,1331.87
Kameron,Drunken Monkeys,31,0,2015,4,8-5-0,0.615,1315.26,1264.24
Aaron,Doomsday,13,0,2015,9,7-6-0,0.538,1229.8,1202.34
dan,DR Philthy,10,0,2015,12,1-12-0,0.077,1060.18,1358.73
Matthew,Turf Muncher,29,0,2015,8,7-6-0,0.538,1255.0,1312.34
Colin,Im a scientist,19,0,2015,5,7-6-0,0.538,1333.29,1288.9
Mike,MrPigSkinner,32,0,2015,2,8-5-0,0.615,1386.3,1300.6
Brian,DoyouseewhathappensLarry,31,0,2015,3,8-5-0,0.615,1325.12,1327.07
AJ ,Allah Bout Dem Benjamins,16,0,2016,2,9-4-0,0.692,1302.22,1256.18
Sam,Bell Peppers,20,0,2016,11,4-9-0,0.308,1262.44,1346.87
Rob,Buildin 'Merica,19,0,2016,7,7-6-0,0.538,1299.58,1271.61
Matt,Mongorians,11,0,2016,10,5-8-0,0.385,1129.35,1229.63
Mike,Wall Or Nothin,25,0,2016,5,7-6-0,0.538,1439.88,1303.97
Kameron,Drunken Monkeys,27,0,2016,1,9-4-0,0.692,1506.11,1267.42
Aaron,I Cursed AJ Crane,26,0,2016,4,8-5-0,0.615,1367.72,1303.91
dan,DR Philthy,26,0,2016,8,5-8-0,0.385,1251.42,1400.64
Matthew,Turf Muncher,31,0,2016,3,8-5-0,0.615,1384.28,1323.37
Colin,Im a scientist,19,0,2016,6,7-6-0,0.538,1327.42,1284.1
Mike,Mr Pig Skinner,39,0,2016,12,4-9-0,0.308,1147.23,1236.09
Brian,DaHazzelhoffs,12,0,2016,9,5-8-0,0.385,1151.64,1345.5
AJ ,Sir Schlongdongler,13,0,2017,8,6-7-0,0.462,1176.96,1181.11
Sam,He Wore the Brown Pants,27,0,2017,4,7-6-0,0.538,1420.19,1329.35
Rob,Buildin 'Merica,28,0,2017,6,6-7-0,0.462,1251.99,1247.12
Mike,Wall or Nothin,22,0,2017,11,4-9-0,0.308,1257.16,1291.82
Kameron,Drunken Monkeys,35,0,2017,5,6-7-0,0.462,1361.9,1237.09
Aaron,How do I even have 1 win,11,0,2017,7,6-7-0,0.462,1212.29,1286.79
dan,DR Philthy,14,0,2017,2,9-4-0,0.692,1374.48,1229.81
Matthew,Turf Muncher,29,0,2017,12,4-9-0,0.308,1071.98,1265.26
Colin,Im a scientist,12,0,2017,10,5-8-0,0.385,1132.38,1363.04
Mike,Mr Pig Skinner,41,0,2017,1,10-3-0,0.769,1267.16,1119.64
Brian,DaHazzelhoffs,23,0,2017,9,6-7-0,0.462,1155.54,1251.8
Alex,2Gurleys1Kupp,74,0,2017,3,9-4-0,0.692,1300.56,1179.76
AJ ,Saquon Deez Nuts,13,0,2018,1,9-4-0,0.692,1522.63,1315.42
Sam,Downtown Brown,22,1,2018,12,2-11-0,0.154,1252.46,1502.2
Rob,Shakin Bacon,30,0,2018,5,8-5-0,0.615,1327.95,1275.69
Mike,I Shit In Your Mouth,28,0,2018,9,5-8-0,0.385,1436.67,1493.22
Kameron,Drunken Monkeys,34,0,2018,2,9-4-0,0.692,1479.08,1343.09
Aaron,No Curses Only Blessings,12,0,2018,8,6-7-0,0.462,1216.9,1216.5
dan,DR Philthy,19,0,2018,11,4-9-0,0.308,1092.31,1291.06
Matthew,Turf Muncher,26,0,2018,6,8-5-0,0.615,1228.26,1287.3
Colin,Im a scientist,9,0,2018,7,7-6-0,0.538,1486.76,1345.58
Mike,Mr Pig Skinner,40,0,2018,3,8-5-0,0.615,1548.9,1364.05
Brian,DaHazzelhoffs,20,0,2018,10,4-9-0,0.308,1209.09,1404.92
Alex,Mariota Kart,43,1,2018,4,8-5-0,0.615,1477.82,1439.8
